id,leto,mesec,dan,ura,minuta,sekunda,DOL,dolzina,SIR,sirina,globina,magnituda,regija
536829,2016,10,13,15,13,06.8,E,44.13,N,43.06,5,3.3,"CAUCASUS REGION, RUSSIA"
536820,2016,10,13,14,54,00.0,E,36.42,N,36.15,5,2.0,CENTRAL TURKEY
536816,2016,10,13,14,38,35.5,E,39.56,S,62.32,2,3.3,"KERKIRA REGION, GREECE"
536814,2016,10,13,14,23,48.5,E,19.47,N,39.56,2,3.3,"KERKIRA REGION, GREECE"
536813,2016,10,13,14,19,19.0,W,68.91,S,21.07,112,3.9,"TARAPACA, CHILE"
536808,2016,10,13,14,09,25.9,W,30.33,N,19.43,45,2.6,"COQUIMBO, CHILE"
536812,2016,10,13,13,53,25.0,W,40.94,N,61.24,18,3.6,"OFFSHORE LOS LAGOS, CHILE"
536802,2016,10,13,13,23,58.0,W,71.51,S,32.63,27,3.8,"OFFSHORE VALPARAISO, CHILE"
536801,2016,10,13,13,21,51.4,E,20.63,N,38.12,9,2.6,GREECE
536869,2016,10,13,13,12,42.0,W,18.27,S,19.85,48,2.2,PUERTO RICO REGION
536804,2016,10,13,13,01,28.6,E,37.67,N,37.22,8,2.0,CENTRAL TURKEY
536805,2016,10,13,12,24,45.0,E,46.44,N,42.83,60,3.6,"CAUCASUS REGION, RUSSIA"
536798,2016,10,13,12,17,07.0,E,45.39,N,63.21,8,2.3,FRANCE
536794,2016,10,13,11,35,21.5,E,39.82,S,36.12,20,1.5,NEAR THE COAST OF WESTERN TURKEY
536791,2016,10,13,10,44,02.0,E,47.43,N,76.72,0,2.0,FRANCE
536800,2016,10,13,10,28,49.0,E,46.57,N,42.20,10,3.5,"CAUCASUS REGION, RUSSIA"
536792,2016,10,13,10,26,47.0,W,36.23,N,61.07,6,2.0,CENTRAL CALIFORNIA
536786,2016,10,13,10,10,23.4,W,38.80,N,19.38,1,2.0,NORTHERN CALIFORNIA
536783,2016,10,13,09,21,34.2,E,39.87,N,40.69,18,2.0,EASTERN TURKEY
536782,2016,10,13,09,21,14.5,W,35.81,N,19.36,36,3.7,"OFFSHORE MAULE, CHILE"
536780,2016,10,13,09,16,27.3,E,27.84,N,37.19,10,1.5,WESTERN TURKEY
536778,2016,10,13,09,12,02.3,E,27.87,N,37.21,10,1.7,WESTERN TURKEY
536823,2016,10,13,08,54,32.2,W,96.89,N,36.40,5,2.3,OKLAHOMA
536777,2016,10,13,08,51,38.0,E,28.22,N,37.21,9,1.7,WESTERN TURKEY
536769,2016,10,13,08,00,32.3,W,73.16,N,47.45,149,2.2,NORTHERN COLOMBIA
536766,2016,10,13,06,50,02.0,W,31.24,N,62.39,6,3.3,"BAJA CALIFORNIA, MEXICO"
536764,2016,10,13,06,32,03.9,E,41.56,N,39.19,15,2.2,EASTERN TURKEY
536761,2016,10,13,06,26,45.0,E,35.31,N,59.50,14,2.2,EASTERN MEDITERRANEAN SEA
536760,2016,10,13,06,03,50.4,E,67.98,N,36.45,10,4.4,CENTRAL AFGHANISTAN
536757,2016,10,13,05,58,17.7,E,22.78,N,41.80,2,2.5,FYR OF MACEDONIA
536771,2016,10,13,05,55,27.0,E,38.28,S,32.48,9,2.4,WESTERN TURKEY
536754,2016,10,13,05,30,30.9,E,37.21,N,37.63,10,1.9,WESTERN TURKEY
536750,2016,10,13,05,11,24.0,E,13.07,N,75.09,9,3.1,CENTRAL ITALY
536748,2016,10,13,04,53,33.2,E,13.08,N,42.86,9,2.6,CENTRAL ITALY
536747,2016,10,13,04,35,19.5,E,39.18,N,47.03,2,2.5,WESTERN TURKEY
536745,2016,10,13,03,55,12.5,W,21.17,N,25.57,102,3.1,"TARAPACA, CHILE"
536743,2016,10,13,03,50,13.7,E,27.83,N,36.21,62,2.0,DODECANESE IS.-TURKEY BORDER REG
536772,2016,10,13,03,39,20.0,W,63.95,N,18.23,98,2.7,VIRGIN ISLANDS REGION
536759,2016,10,13,03,26,46.8,E,33.58,N,34.64,18,1.6,CYPRUS REGION
536740,2016,10,13,03,20,05.0,W,67.60,S,24.12,221,4.4,"ANTOFAGASTA, CHILE"
536770,2016,10,13,03,19,04.5,W,64.52,N,18.07,9,2.2,VIRGIN ISLANDS REGION
536739,2016,10,13,03,16,13.8,E,29.11,N,39.98,8,2.7,WESTERN TURKEY
536738,2016,10,13,03,14,53.7,E,29.12,N,39.98,5,3.2,WESTERN TURKEY
536722,2016,10,13,02,48,41.7,W,98.31,N,36.77,9,3.6,OKLAHOMA
536721,2016,10,13,02,34,38.3,E,29.11,N,39.97,6,2.0,WESTERN TURKEY
536737,2016,10,13,02,30,48.0,E,38.51,N,63.02,5,1.5,CENTRAL TURKEY
536716,2016,10,13,02,06,20.3,E,29.04,N,40.05,5,2.0,WESTERN TURKEY
536720,2016,10,13,02,04,32.0,W,30.75,N,61.65,46,2.7,"COQUIMBO, CHILE"
536719,2016,10,13,01,33,40.0,E,37.89,N,61.03,5,1.8,WESTERN TURKEY
536741,2016,10,13,00,47,16.3,W,66.63,N,17.86,12,2.3,PUERTO RICO REGION
536724,2016,10,13,00,26,14.5,E,26.72,N,38.02,3,1.9,NEAR THE COAST OF WESTERN TURKEY
536725,2016,10,13,00,20,40.9,E,27.52,N,40.79,13,2.0,WESTERN TURKEY
536726,2016,10,13,00,16,53.3,E,29.33,N,37.99,12,1.7,WESTERN TURKEY
536713,2016,10,12,23,48,51.0,W,38.70,N,62.86,1,2.0,AZORES-CAPE ST. VINCENT RIDGE
536728,2016,10,12,23,35,48.5,E,39.97,N,39.90,9,2.2,EASTERN TURKEY
536733,2016,10,12,23,31,18.8,E,40.83,N,38.59,13,2.0,EASTERN TURKEY
536700,2016,10,12,23,30,00.8,E,27.71,N,39.00,8,3.2,WESTERN TURKEY
536694,2016,10,12,23,11,32.6,E,28.49,N,36.54,43,1.8,DODECANESE IS.-TURKEY BORDER REG
536692,2016,10,12,22,59,25.0,W,69.15,S,20.16,95,2.8,"TARAPACA, CHILE"
536689,2016,10,12,22,52,12.2,E,28.51,N,40.86,22,2.0,WESTERN TURKEY
536691,2016,10,12,22,45,41.0,W,69.38,S,19.30,100,3.2,"TARAPACA, CHILE"
536693,2016,10,12,22,43,50.2,E,19.26,N,39.76,2,3.0,"KERKIRA REGION, GREECE"
536688,2016,10,12,22,14,21.1,E,28.44,N,37.15,9,1.7,WESTERN TURKEY
536686,2016,10,12,21,59,22.8,E,58.07,N,35.04,5,3.6,NORTHEASTERN IRAN
536685,2016,10,12,21,56,21.5,E,26.00,N,39.62,6,2.4,NEAR THE COAST OF WESTERN TURKEY
536684,2016,10,12,21,43,40.7,E,43.90,N,38.50,5,2.2,EASTERN TURKEY
536683,2016,10,12,21,36,04.8,E,39.87,N,39.27,7,2.0,EASTERN TURKEY
