id,leto,mesec,DOL,dolzina,regija,minuta,SIR,ura,sirina,dan,magnituda,globina,sekunda
536701,2016,10,W,11.10,AZORES-CAPE ST. VINCENT RIDGE,48,N,23,38.70,12,2.0,1,46.0
536728,2016,10,E,39.97,EASTERN TURKEY,35,N,23,39.90,12,2.2,9,48.5
536733,2016,10,E,40.83,EASTERN TURKEY,31,N,23,38.59,12,2.0,13,18.8
536700,2016,10,E,27.71,WESTERN TURKEY,30,N,23,39.00,12,3.2,8,00.8
536694,2016,10,E,28.49,DODECANESE IS.-TURKEY BORDER REG,11,N,23,36.54,12,1.8,43,32.6
536692,2016,10,W,69.15,"TARAPACA, CHILE",59,S,22,20.16,12,2.8,95,25.0
536689,2016,10,E,28.51,WESTERN TURKEY,52,N,22,40.86,12,2.0,22,12.2
536691,2016,10,W,69.38,"TARAPACA, CHILE",45,S,22,19.30,12,3.2,100,41.0
536693,2016,10,E,19.26,"KERKIRA REGION, GREECE",43,N,22,39.76,12,3.0,2,50.2
536688,2016,10,E,28.44,WESTERN TURKEY,14,N,22,37.15,12,1.7,9,21.1
536686,2016,10,E,58.07,NORTHEASTERN IRAN,59,N,21,35.04,12,3.6,5,22.8
536685,2016,10,E,26.00,NEAR THE COAST OF WESTERN TURKEY,56,N,21,39.62,12,2.4,6,21.5
536684,2016,10,E,43.90,EASTERN TURKEY,43,N,21,38.50,12,2.2,5,40.7
536683,2016,10,E,39.87,EASTERN TURKEY,36,N,21,39.27,12,2.0,7,04.8
536677,2016,10,E,31.56,WESTERN TURKEY,38,N,20,40.15,12,2.0,8,10.4
